Filename-->;102m.RFL8;233m.RFL8;2746m.RFL8;279m.RFL8;307m.RFL8;485m.RFL8;5405m.RFL8;603m.RFL8;7547m.RFL8;807m.RFL8;102m;233c;2746c;279c;307c;485c;5405c;603c;7545c;812c;7545m.RFL8;812m.RFL8
0.380765;0.00642511;0.01482683;0.00642735;0.01058061;0.00237989;0.01339623;0.00832889;0.0149202;-0.00072722;0.01328396;0.14883933;0.39501235;0.18217462;0.43046325;0.09841166;0.08638868;0.004304633;0.22711336;0.15244557;0.3767819;0.090718804;0.151452295
0.384926;0.0107764;0.01552316;0.01181738;0.0175521;0.0098527;0.00818066;0.01307135;0.0119654;0.00620894;0.01575155;0.14799867;0.39908469;0.18250716;0.43210124;0.11468864;0.08682909;0.004321012;0.22590423;0.15018272;0.38407427;0.106952336;0.152511078
0.390272;0.00892977;0.01003422;0.00367703;0.01539826;0.0077116;0.00606267;0.00386019;0.0126319;0.00411279;0.01221243;0.14377929;0.39805603;0.18828932;0.43425095;0.13320906;0.08376434;0.00434251;0.22062924;0.15221165;0.38657377;0.129534191;0.132584911
0.395023;0.01166785;0.01302562;0.01077177;0.01609563;0.01035423;0.01257839;0.0138286;0.01467199;0.01047422;0.01410265;0.13315829;0.39792154;0.19230303;0.4325417;0.1520974;0.07765268;0.004325417;0.21482359;0.1532872;0.38824237;0.096744881;0.117481854
0.399772;0.00973742;0.0127192;0.013492;0.01993829;0.01104524;0.01270562;0.0145646;0.01531251;0.00724142;0.01628035;0.12937543;0.40444427;0.19533531;0.44050685;0.16740765;0.07652239;0.004405069;0.21198365;0.15179592;0.39582109;0.073224292;0.084316202
0.405112;0.00916737;0.01379177;0.00996244;0.01690035;0.00949974;0.00573615;0.01222063;0.01103604;0.00358389;0.01121302;0.12416039;0.41278769;0.20452984;0.44943255;0.18413489;0.07600622;0.004494326;0.21151009;0.15498064;0.40520447;0.116187524;0.108526525
0.409857;0.01105704;0.01886542;0.01560605;0.02859762;0.01650815;0.01080002;0.02065015;0.01582637;0.00734379;0.01863523;0.12370796;0.43975845;0.21763322;0.47002879;0.20360813;0.07532409;0.004700288;0.2102955;0.16178045;0.42717375;0.105384648;0.14934572
0.415193;0.00648225;0.01974429;0.01841414;0.03929354;0.01830168;0.008861;0.01644819;0.01461193;0.00457291;0.02601515;0.11778866;0.47493155;0.23597852;0.49581641;0.21510183;0.07249924;0.004958164;0.20904095;0.16654279;0.45248819;0.16200214;0.187622049
0.419934;0.0069736;0.02487591;0.02158348;0.0514462;0.02087958;0.00940762;0.02145556;0.01780536;0.00465355;0.03512194;0.11172859;0.50634807;0.25167748;0.52883911;0.21887005;0.07190978;0.005288391;0.20337269;0.16940909;0.4687453;0.192806853;0.23080481
0.425265;0.00782684;0.02714944;0.02224347;0.06054516;0.02472568;0.00888828;0.02363694;0.0169683;0.00528383;0.03738845;0.10655658;0.53010672;0.26204139;0.55413615;0.24384796;0.07017736;0.005541362;0.19836092;0.17142628;0.4814493;0.221681904;0.223565533
